county,license_number,operation_type,estab_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,georeference,:@computed_region_yamh_8v7k,square_footage,address_line_2,address_line_3,longitude,latitude
BRONX,727124,Store,AC,J D FOOD MARKET CORP,J D FOOD MARKET,460,QUINCY AVENUE,BRONX,NY,10465,"{'type': 'Point', 'coordinates': [-73.82174, 40.82122]}",307,2000,,,-73.82174,40.82122
BRONX,727058,Store,AC,SADEQ GOURMET DELI INC,SADEQ GOURMET DELI,2664,GRAND CONCOURSE,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.893919, 40.8664]}",307,,,,-73.893919,40.8664
BRONX,726967,Store,AC,COURTSIDE GOURMET CORP,COURTSIDE GOURMET,906,MORRIS AVE,BRONX,NY,10451,"{'type': 'Point', 'coordinates': [-73.918, 40.82641]}",307,1100,,,-73.918,40.82641
BRONX,726957,Store,AC,3220 MARKET CORP,C TOWN,3220,THIRD AVE,BRONX,NY,10451,"{'type': 'Point', 'coordinates': [-73.90906, 40.82344]}",307,4000,,,-73.90906,40.82344
BRONX,726877,Store,AC,3161 NORWOOD DELI CORP,3161 NORWOOD DELI,3161,BAINBRIDGE AVE,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.87948, 40.87514]}",307,1200,,,-73.87948,40.87514
BRONX,726841,Store,A,HUA MEI DISCOUNT STORE INC,HUA MEI DISCOUNT STORE,1690,BOSTON RD,BRONX,NY,10460,"{'type': 'Point', 'coordinates': [-73.88881, 40.83676]}",307,5000,,,-73.88881,40.83676
BRONX,726484,Store,AC,ADUM AFRICAN MARKET INC,ADUM AFRICAN MARKET,261,EAST 167TH STREET,BRONX,NY,10456,"{'type': 'Point', 'coordinates': [-73.91452, 40.83344]}",307,4000,,,-73.91452,40.83344
BRONX,726451,Store,AC,M.A.Z.D CORP,EUROPEAN GOURMET & DELI,5622,MOSHOLU AVE ####,BRONX,NY,10471,"{'type': 'Point', 'coordinates': [-73.90259, 40.90446]}",307,1000,,,-73.90259,40.90446
BRONX,726338,Store,AC,BUHRE FISH MARKET INC,BUHRE FISH MARKET,3035,BUHRE AVENUE,BRONX,NY,10461,"{'type': 'Point', 'coordinates': [-73.83113, 40.84744]}",307,1000,,,-73.83113,40.84744
BRONX,726186,Store,AC,EMPIRE STATE GOURMET DELI LLC,EMPIRE STATE GOURMET DELI,5800,MOSHOLU AVENUE ####,BRONX,NY,10471,"{'type': 'Point', 'coordinates': [-73.89716, 40.90512]}",307,1100,,,-73.89716,40.90512
BRONX,726154,Store,AC,NICKS EUROPEAN MARKET INC,NICKS EUROPEAN MARKET,2137-A,WILLIAMSBRIDGE RD,BRONX,NY,10461,"{'type': 'Point', 'coordinates': [-73.8558, 40.85639]}",307,1000,,,-73.8558,40.85639
