Record ID,store_name,Store Type,Street Number,Street Name,Additional Address,city,state,Zip Code,Zip4,County,latitude,longitude,Authorization Date,End Date
977807,1182 Deli Grocery Corp  ,Small Grocery Store,1182,W Farms Rd,Frnt A,Bronx,NY,10459,2045,BRONX,40.82856,-73.8884,11/3/2010,11/16/2011
690801,1187 T & J FOOD CORP  ,Supermarket,1187,Jerome Ave, ,Bronx,NY,10452,3331,BRONX,40.83569,-73.92311,5/30/2003,4/8/2021
744683,119 L.P. Deli Grocery Inc  ,Convenience Store,117-119,E 157 St, ,Bronx,NY,10451, ,BRONX,40.82557,-73.92652,3/9/2005,8/2/2009
985075,119 L.P. Deli Grocery Inc  ,Small Grocery Store,119,E 157th St, ,Bronx,NY,10451,2301,BRONX,40.82556,-73.92648,12/22/2010,6/13/2011
982545,119 Meat & Produce Inc - Food Universe  ,Super Store,119,Einstein Loop,,Bronx,NY,10475,4902,BRONX,40.8648,-73.82199,1/21/2011, 
457576,1193 MORRIS DELI GROCERY CORP  ,Convenience Store,1191,Morris Ave, ,Bronx,NY,10456,4703,BRONX,40.83306,-73.91429,7/18/2002,5/24/2006
1063438,120 East 157 Food Corp  ,Convenience Store,120,E 157th St, ,Bronx,NY,10451,2361,BRONX,40.82532,-73.92615,7/24/2012,3/12/2014
412333,1200 WHITE PLAINS RD GROC & DELI  ,Medium Grocery Store,1200,White Plains Rd, ,Bronx,NY,10472,4904,BRONX,40.83057,-73.8616,6/11/2002,6/15/2010
772243,1201 Express Deli & Grocery Corp  ,Convenience Store,1201,Castle Hill Ave, ,Bronx,NY,10462,4804,BRONX,40.8321,-73.85113,1/5/2006,1/23/2007
1658165,1203 West Indian Grocery Inc  ,Convenience Store,1203,Rosedale Ave,,Bronx,NY,10472,4609,BRONX,40.82966,-73.86891,8/28/2025, 
268322,1206 ELDER AVE CORP  ,Small Grocery Store,1206,Elder Ave, ,Bronx,NY,10472,2305,BRONX,40.82882,-73.87915,5/13/2004,11/25/2008
534768,1208 Stratford Ave Inc  ,Small Grocery Store,1208,Stratford Ave, ,Bronx,NY,10472,2601,BRONX,40.82951,-73.8755,6/18/1998,4/23/2018
534768,1208 Stratford Ave Inc  ,Small Grocery Store,1208,Stratford Ave, ,Bronx,NY,10472,2601,BRONX,40.82951,-73.8755,5/31/2018,11/26/2019
1562589,1214 Convenience Store Corporation  ,Convenience Store,1214,Southern Blvd,,Bronx,NY,10459,1904,BRONX,40.82901,-73.89169,11/29/2023,6/1/2025
696435,1215 GRAND CONCOURSE CORP  ,Medium Grocery Store,1215B,Grand Concourse, ,Bronx,NY,10452,8101,BRONX,40.83485,-73.91769,3/26/2004,11/6/2007
