NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,GEOID,year,n_low,n_mid,n_high,n_i_sum
Census Tract 183.01; Bronx County; New York,2016,242,134,128,101,69,14,67,120,90,101,166,119,226,184,106,149,36,005,018301,36005018301,2022,605,360,1051,2016
Census Tract 183.02; Bronx County; New York,1460,66,22,176,63,67,0,89,33,73,55,335,170,161,82,68,0,36,005,018302,36005018302,2022,327,262,871,1460
Census Tract 184; Bronx County; New York,1407,84,73,49,0,0,34,29,65,35,78,33,130,252,229,211,105,36,005,018400,36005018400,2022,206,163,1038,1407
Census Tract 185.01; Bronx County; New York,1240,294,188,53,0,0,14,23,40,0,186,329,31,36,0,46,0,36,005,018501,36005018501,2022,535,77,628,1240
Census Tract 185.02; Bronx County; New York,2100,466,385,165,134,208,0,0,107,91,106,145,146,115,0,0,32,36,005,018502,36005018502,2022,1150,406,544,2100
Census Tract 189; Bronx County; New York,2857,395,324,178,140,180,120,11,54,86,202,286,567,117,0,142,55,36,005,018900,36005018900,2022,1037,451,1369,2857
Census Tract 193; Bronx County; New York,2410,280,308,92,86,125,201,182,136,107,24,298,541,30,0,0,0,36,005,019300,36005019300,2022,766,751,893,2410
Census Tract 194; Bronx County; New York,728,69,21,71,10,15,18,48,13,0,55,77,69,91,37,27,107,36,005,019400,36005019400,2022,171,94,463,728
Census Tract 195; Bronx County; New York,2650,406,277,141,200,171,231,115,125,60,235,51,409,134,71,14,10,36,005,019500,36005019500,2022,1024,702,924,2650
Census Tract 197; Bronx County; New York,2513,294,563,56,268,15,62,269,149,65,206,141,177,24,72,96,56,36,005,019700,36005019700,2022,1181,560,772,2513
Census Tract 199; Bronx County; New York,3251,423,49,361,116,588,87,124,0,99,156,500,261,184,38,232,33,36,005,019900,36005019900,2022,949,898,1404,3251
Census Tract 200; Bronx County; New York,1491,198,58,87,58,81,62,21,156,82,132,111,99,90,87,42,127,36,005,020000,36005020000,2022,401,402,688,1491
Census Tract 201; Bronx County; New York,1351,168,104,48,128,95,78,98,67,179,91,41,109,72,0,21,52,36,005,020100,36005020100,2022,448,517,386,1351
Census Tract 202; Bronx County; New York,972,41,57,114,68,19,11,33,31,55,98,141,144,49,49,28,34,36,005,020200,36005020200,2022,280,149,543,972
Census Tract 204; Bronx County; New York,1029,66,51,53,110,37,0,29,0,46,158,104,124,128,42,27,54,36,005,020400,36005020400,2022,280,112,637,1029
Census Tract 205.01; Bronx County; New York,2701,649,602,192,121,205,70,103,74,72,40,33,358,71,0,111,0,36,005,020501,36005020501,2022,1564,524,613,2701
Census Tract 205.02; Bronx County; New York,1048,234,149,33,68,71,10,19,47,24,47,48,33,78,82,47,58,36,005,020502,36005020502,2022,484,171,393,1048
Census Tract 206.01; Bronx County; New York,990,93,145,79,0,38,87,0,9,0,102,87,74,115,102,18,41,36,005,020601,36005020601,2022,317,134,539,990
Census Tract 209; Bronx County; New York,1965,229,167,149,59,155,44,155,27,161,116,269,205,133,66,19,11,36,005,020900,36005020900,2022,604,542,819,1965
Census Tract 210.01; Bronx County; New York,3562,549,224,213,175,75,287,96,129,118,199,535,308,179,239,44,192,36,005,021001,36005021001,2022,1161,705,1696,3562
Census Tract 210.02; Bronx County; New York,3182,298,91,105,160,173,62,14,39,50,251,453,270,571,394,172,79,36,005,021002,36005021002,2022,654,338,2190,3182
Census Tract 211; Bronx County; New York,1997,116,298,24,129,36,192,152,62,282,115,127,126,57,63,72,146,36,005,021100,36005021100,2022,567,724,706,1997
Census Tract 212; Bronx County; New York,2294,219,82,138,104,99,49,65,84,63,109,278,390,376,133,63,42,36,005,021200,36005021200,2022,543,360,1391,2294
Census Tract 213.01; Bronx County; New York,464,16,69,37,17,42,58,11,0,38,26,57,54,0,16,11,12,36,005,021301,36005021301,2022,139,149,176,464
Census Tract 213.02; Bronx County; New York,2303,293,530,205,148,97,295,173,69,66,42,74,93,27,69,101,21,36,005,021302,36005021302,2022,1176,700,427,2303
Census Tract 215.01; Bronx County; New York,1360,113,103,114,59,127,74,94,41,42,92,93,74,97,43,102,92,36,005,021501,36005021501,2022,389,378,593,1360
Census Tract 215.02; Bronx County; New York,2239,774,195,154,97,130,0,104,40,25,100,309,222,36,0,37,16,36,005,021502,36005021502,2022,1220,299,720,2239
Census Tract 216.01; Bronx County; New York,1609,190,138,20,72,188,124,33,39,41,153,171,181,47,87,46,79,36,005,021601,36005021601,2022,420,425,764,1609
Census Tract 216.02; Bronx County; New York,2361,88,98,49,88,85,29,130,132,40,432,394,245,179,196,100,76,36,005,021602,36005021602,2022,323,416,1622,2361
Census Tract 217; Bronx County; New York,1781,234,168,126,115,136,52,48,170,59,218,52,171,53,67,70,42,36,005,021700,36005021700,2022,643,465,673,1781
Census Tract 218; Bronx County; New York,2198,232,196,67,88,169,153,66,18,0,205,185,495,91,68,124,41,36,005,021800,36005021800,2022,583,406,1209,2198
Census Tract 219; Bronx County; New York,384,26,38,37,32,0,15,6,13,69,25,24,39,29,12,7,12,36,005,021900,36005021900,2022,133,103,148,384
Census Tract 220; Bronx County; New York,650,88,89,7,101,0,102,0,1,5,49,47,101,9,10,0,41,36,005,022000,36005022000,2022,285,108,257,650
Census Tract 221.01; Bronx County; New York,1292,102,42,89,53,77,26,120,19,51,154,177,158,166,13,45,0,36,005,022101,36005022101,2022,286,293,713,1292
Census Tract 221.02; Bronx County; New York,1655,78,202,146,76,75,81,70,70,26,267,161,93,195,68,47,0,36,005,022102,36005022102,2022,502,322,831,1655
Census Tract 222; Bronx County; New York,1066,40,72,85,56,125,19,24,56,28,86,129,110,107,60,47,22,36,005,022200,36005022200,2022,253,252,561,1066
Census Tract 223; Bronx County; New York,2220,384,240,260,35,62,207,21,288,89,173,30,224,89,106,0,12,36,005,022300,36005022300,2022,919,667,634,2220
Census Tract 224.01; Bronx County; New York,998,87,0,42,11,92,15,16,65,57,105,90,158,54,52,102,52,36,005,022401,36005022401,2022,140,245,613,998
Census Tract 224.03; Bronx County; New York,1142,65,79,42,100,13,31,1,0,0,39,59,369,49,104,128,63,36,005,022403,36005022403,2022,286,45,811,1142
Census Tract 224.04; Bronx County; New York,1976,126,52,86,27,34,171,63,89,102,156,205,378,200,122,56,109,36,005,022404,36005022404,2022,291,459,1226,1976
Census Tract 225; Bronx County; New York,2319,263,128,42,24,58,122,160,232,56,229,221,183,440,43,57,61,36,005,022500,36005022500,2022,457,628,1234,2319
Census Tract 227.01; Bronx County; New York,2008,275,131,342,98,143,102,151,62,23,106,191,210,106,34,9,25,36,005,022701,36005022701,2022,846,481,681,2008
Census Tract 227.02; Bronx County; New York,559,75,76,45,35,72,32,9,0,58,11,23,68,35,0,0,20,36,005,022702,36005022702,2022,231,171,157,559
Census Tract 227.03; Bronx County; New York,717,56,8,111,8,8,7,18,27,7,38,66,205,58,53,40,7,36,005,022703,36005022703,2022,183,67,467,717
Census Tract 228; Bronx County; New York,2369,145,73,40,156,22,68,0,56,50,160,316,299,359,278,165,182,36,005,022800,36005022800,2022,414,196,1759,2369
Census Tract 229.01; Bronx County; New York,2022,283,239,110,184,0,0,46,45,103,257,185,183,155,144,54,34,36,005,022901,36005022901,2022,816,194,1012,2022
Census Tract 229.02; Bronx County; New York,1165,152,163,13,43,30,96,0,17,52,102,120,119,0,61,197,0,36,005,022902,36005022902,2022,371,195,599,1165
