GEOID,NAME,B11001_001E,source,year
36005034000,"Census Tract 340, Bronx, NY",1762.0,censusreporter:acs2024_5yr,2024
36005034200,"Census Tract 342, Bronx, NY",625.0,censusreporter:acs2024_5yr,2024
36005034300,"Census Tract 343, Bronx, NY",575.0,censusreporter:acs2024_5yr,2024
36005034400,"Census Tract 344, Bronx, NY",586.0,censusreporter:acs2024_5yr,2024
36005034500,"Census Tract 345, Bronx, NY",1680.0,censusreporter:acs2024_5yr,2024
36005034800,"Census Tract 348, Bronx, NY",2106.0,censusreporter:acs2024_5yr,2024
36005035000,"Census Tract 350, Bronx, NY",790.0,censusreporter:acs2024_5yr,2024
36005035100,"Census Tract 351, Bronx, NY",1258.0,censusreporter:acs2024_5yr,2024
36005035600,"Census Tract 356, Bronx, NY",678.0,censusreporter:acs2024_5yr,2024
36005035800,"Census Tract 358, Bronx, NY",2646.0,censusreporter:acs2024_5yr,2024
36005035900,"Census Tract 359, Bronx, NY",1693.0,censusreporter:acs2024_5yr,2024
36005036000,"Census Tract 360, Bronx, NY",962.0,censusreporter:acs2024_5yr,2024
36005036100,"Census Tract 361, Bronx, NY",1969.0,censusreporter:acs2024_5yr,2024
36005036300,"Census Tract 363, Bronx, NY",2458.0,censusreporter:acs2024_5yr,2024
36005036400,"Census Tract 364, Bronx, NY",857.0,censusreporter:acs2024_5yr,2024
36005036501,"Census Tract 365.01, Bronx, NY",1445.0,censusreporter:acs2024_5yr,2024
36005036502,"Census Tract 365.02, Bronx, NY",768.0,censusreporter:acs2024_5yr,2024
36005036700,"Census Tract 367, Bronx, NY",777.0,censusreporter:acs2024_5yr,2024
36005036800,"Census Tract 368, Bronx, NY",624.0,censusreporter:acs2024_5yr,2024
36005036901,"Census Tract 369.01, Bronx, NY",763.0,censusreporter:acs2024_5yr,2024
36005036902,"Census Tract 369.02, Bronx, NY",850.0,censusreporter:acs2024_5yr,2024
36005037000,"Census Tract 370, Bronx, NY",735.0,censusreporter:acs2024_5yr,2024
36005037100,"Census Tract 371, Bronx, NY",1769.0,censusreporter:acs2024_5yr,2024
36005037200,"Census Tract 372, Bronx, NY",852.0,censusreporter:acs2024_5yr,2024
36005037300,"Census Tract 373, Bronx, NY",2382.0,censusreporter:acs2024_5yr,2024
36005037400,"Census Tract 374, Bronx, NY",1506.0,censusreporter:acs2024_5yr,2024
36005037504,"Census Tract 375.04, Bronx, NY",1560.0,censusreporter:acs2024_5yr,2024
36005037600,"Census Tract 376, Bronx, NY",767.0,censusreporter:acs2024_5yr,2024
36005037800,"Census Tract 378, Bronx, NY",1186.0,censusreporter:acs2024_5yr,2024
36005037900,"Census Tract 379, Bronx, NY",2212.0,censusreporter:acs2024_5yr,2024
36005038000,"Census Tract 380, Bronx, NY",2114.0,censusreporter:acs2024_5yr,2024
36005038100,"Census Tract 381, Bronx, NY",2726.0,censusreporter:acs2024_5yr,2024
36005038200,"Census Tract 382, Bronx, NY",967.0,censusreporter:acs2024_5yr,2024
36005038301,"Census Tract 383.01, Bronx, NY",1601.0,censusreporter:acs2024_5yr,2024
36005038303,"Census Tract 383.03, Bronx, NY",1237.0,censusreporter:acs2024_5yr,2024
36005038304,"Census Tract 383.04, Bronx, NY",844.0,censusreporter:acs2024_5yr,2024
